Year,INFRATE,GDPGR,REMITTANCE,M2GR,DCRISES
1970,1.84393596556387,,,,0
1971,1.61303596395808,,,18.082046383885242,0
1972,3.23155422354874,,,21.60766665916798,0
1973,10.5601757413101,,,39.64199022293571,0
1974,17.3289809824411,,,43.87890984532834,0
1975,4.48772226915906,,0.044925,-2.849940572862386,0
1976,2.63371150730571,,0.035607,22.610406601217647,0
1977,4.78822401445964,,0.030922,16.313879161429522,0
1978,4.86006458554252,,0.026395,17.686478283808604,0
1979,3.65446799796414,,0.02154,9.92494885331503,0
1980,6.6749195345051,,0.02154,9.722801993415287,0
1981,9.70000000000015,,0.02154,9.056410126969805,0
1982,5.8189000297783,,0.02154,8.243543020862987,0
1983,3.70423546319373,,0.02154,11.444469601045238,0
1984,3.89727260149768,,0.02154,7.873639160008161,0
1985,0.346458791259884,,0.02154,5.730324233944617,0
1986,0.737002855391939,,0.02154,4.178981896391876,0
1987,0.290007909438412,,0.1516899999999999,2.1924806539313613,0
1988,2.55651945320742,,0.282561,-4.533222829703343,0
1989,2.81320089714805,,0.3572969999999999,16.938215834805128,0
1990,2.61780104712051,9.0074985342,0.4207259999999999,-46.94086432358117,0
1991,4.358333333333,9.5474443942,0.2648969999999999,12.465518350379368,0
1992,4.76722829992821,8.8860558867,0.2587539999999999,74.23008466998027,0
1993,3.53658536585389,9.8957344472,0.2624949999999999,18.907702379265068,0
1994,3.72497055359284,9.2112556419,0.160143,14.60637122157089,0
1995,3.45057509584895,9.8297443199,0.1305399999999999,16.409635467646932,0
1996,3.48855945858916,10.0020404979,0.1627609999999999,15.264155905272037,0
1997,2.66251459711946,7.3273905165,0.1944309999999999,-25.860919915655188,0
1998,5.27034200348766,-7.3588400061,0.2626999999999999,1.0251704905739345,1
1999,2.74456130240604,6.1310463258,0.407961,9.168338038827152,0
2000,1.53474023697699,8.6706272751,0.3650379999999999,6.44270188148337,0
2001,1.41678473206098,0.517599591,0.395656,7.425404821084003,0
2002,1.80787246281536,5.3911411437,0.4313529999999999,1.5067148120154528,0
2003,1.08967632577286,5.7887040166,0.518185,6.122698160046336,0
2004,1.42127115937402,6.782722489,0.6427829999999999,8.211398931607249,0
2005,2.97507092684449,4.9759358827,0.778193,3.371332463281229,0
