observation_date,DDOI11MYA156NWDB
1975-01-01,0.04492500000000000
1976-01-01,0.03560700000000000
1977-01-01,0.03092200000000000
1978-01-01,0.02639500000000000
1979-01-01,0.02154000000000000
1980-01-01,0.02154000000000000
1981-01-01,0.02154000000000000
1982-01-01,0.02154000000000000
1983-01-01,0.02154000000000000
1984-01-01,0.02154000000000000
1985-01-01,0.02154000000000000
1986-01-01,0.02154000000000000
1987-01-01,0.15168999999999999
1988-01-01,0.28256100000000001
1989-01-01,0.35729699999999998
1990-01-01,0.42072599999999999
1991-01-01,0.26489699999999999
1992-01-01,0.25875399999999998
1993-01-01,0.26249499999999998
1994-01-01,0.16014300000000001
1995-01-01,0.13053999999999999
1996-01-01,0.16276099999999999
1997-01-01,0.19443099999999999
1998-01-01,0.26269999999999999
1999-01-01,0.40796100000000002
2000-01-01,0.36503799999999997
2001-01-01,0.39565600000000001
2002-01-01,0.43135299999999999
2003-01-01,0.51818500000000001
2004-01-01,0.64278299999999999
2005-01-01,0.77819300000000002
2006-01-01,0.83930499999999997
2007-01-01,0.80405799999999994
2008-01-01,0.57581899999999997
2009-01-01,0.55912499999999998
2010-01-01,0.43249199999999999
2011-01-01,0.40660799999999991
2012-01-01,0.41145900000000002
2013-01-01,0.44029399999999991
2014-01-01,0.46722700000000000
2015-01-01,0.54544399999999993
2016-01-01,0.53241200000000000
2017-01-01,0.51672899999999999
2018-01-01,0.46979300000000002
2019-01-01,0.43730000000000002
2020-01-01,0.42480200000000001
